,hippieName
CB089_HUMAN,1
CD2A2_HUMAN,1
TEN1_HUMAN,1
RN168_HUMAN,1
I17EL_HUMAN,1
COPD_HUMAN,1
TEX30_HUMAN,1
PTPRB_HUMAN,1
EFCB5_HUMAN,1
ACADL_HUMAN,1
WFDC5_HUMAN,1
CREG2_HUMAN,1
ZN142_HUMAN,1
PALM_HUMAN,1
UBE2F_HUMAN,1
MYL4_HUMAN,1
MYPT2_HUMAN,1
TSN12_HUMAN,1
ZCHC3_HUMAN,1
RMI1_HUMAN,1
LXN_HUMAN,1
PGRC2_HUMAN,1
MYPC3_HUMAN,1
QCR9_HUMAN,1
CSKP_HUMAN,1
AFF4_HUMAN,1
IL2RG_HUMAN,1
K1C28_HUMAN,1
ROBO3_HUMAN,1
KPCZ_HUMAN,1
MSH3_HUMAN,1
F168A_HUMAN,1
K2C8_HUMAN,1
CC149_HUMAN,1
URB2_HUMAN,1
DUS2L_HUMAN,1
IN80E_HUMAN,1
HES4_HUMAN,1
ZN516_HUMAN,1
CX023_HUMAN,1
NIPBL_HUMAN,1
TF3C5_HUMAN,1
RTN4_HUMAN,1
AGTR2_HUMAN,1
BOP1_HUMAN,1
TF_HUMAN,1
OLM2A_HUMAN,1
NPHP3_HUMAN,1
CB074_HUMAN,1
TCRG1_HUMAN,1
SEN54_HUMAN,1
CLIP4_HUMAN,1
PKHB2_HUMAN,1
LRC31_HUMAN,1
SIAE_HUMAN,1
DCNL2_HUMAN,1
MYO9A_HUMAN,1
SMS1_HUMAN,1
K1C40_HUMAN,1
FA40B_HUMAN,1
LERL1_HUMAN,1
HMGN4_HUMAN,1
MTR1L_HUMAN,1
SET_HUMAN,1
KCNH1_HUMAN,1
TIP39_HUMAN,1
IPO5_HUMAN,1
DCTN3_HUMAN,1
DUS2_HUMAN,1
FANCB_HUMAN,1
CNGA3_HUMAN,1
UPK1A_HUMAN,1
TM40L_HUMAN,1
B3GA3_HUMAN,1
K1C39_HUMAN,1
RGS11_HUMAN,1
RN152_HUMAN,1
OPRX_HUMAN,1
CXX1_HUMAN,1
PPIL1_HUMAN,1
GATM_HUMAN,1
SLIK3_HUMAN,1
IL18R_HUMAN,1
CEL_HUMAN,1
SC24C_HUMAN,1
FOLC_HUMAN,1
TATD1_HUMAN,1
ZN462_HUMAN,1
GLOD4_HUMAN,1
SIGIR_HUMAN,1
SAE2_HUMAN,1
TPC2L_HUMAN,1
P4R3B_HUMAN,1
LR37B_HUMAN,1
CYTD_HUMAN,1
KCNN3_HUMAN,1
ADCY5_HUMAN,1
DPP3_HUMAN,1
RTKN_HUMAN,1
TRY3_HUMAN,1
FLOWR_HUMAN,1
POPD1_HUMAN,1
AT2B1_HUMAN,1
DCK_HUMAN,1
PBX4_HUMAN,1
CSK21_HUMAN,1
RAB3I_HUMAN,1
S4A11_HUMAN,1
SI1L1_HUMAN,1
KBL_HUMAN,1
PSB10_HUMAN,1
SCMH1_HUMAN,1
LDH6A_HUMAN,1
CKAP4_HUMAN,1
PDZD2_HUMAN,1
AMNLS_HUMAN,1
NPM3_HUMAN,1
KDM3B_HUMAN,1
TRPV1_HUMAN,1
K0930_HUMAN,1
GRAA_HUMAN,1
ORML3_HUMAN,1
DAOA_HUMAN,1
STXB1_HUMAN,1
WDHD1_HUMAN,1
ATS5_HUMAN,1
GUC1A_HUMAN,1
DDX18_HUMAN,1
CPXM2_HUMAN,1
ERGI3_HUMAN,1
K2C74_HUMAN,1
GBRB1_HUMAN,1
RAB1A_HUMAN,1
SSR3_HUMAN,1
SIR3_HUMAN,1
IGSF1_HUMAN,1
CP073_HUMAN,1
MAGC1_HUMAN,1
TR13B_HUMAN,1
LTBP2_HUMAN,1
PACE1_HUMAN,1
BOLA3_HUMAN,1
CAD15_HUMAN,1
UNC5D_HUMAN,1
MACD1_HUMAN,1
TRI68_HUMAN,1
ZN829_HUMAN,1
PSMD8_HUMAN,1
TRRAP_HUMAN,1
TBCD_HUMAN,1
IAPP_HUMAN,1
IL9R_HUMAN,1
TPP2_HUMAN,1
UCHL5_HUMAN,1
PELP1_HUMAN,1
CCD42_HUMAN,1
TESP1_HUMAN,1
RTBDN_HUMAN,1
COSA1_HUMAN,1
IF2B2_HUMAN,1
INMT_HUMAN,1
UCN3_HUMAN,1
P5CS_HUMAN,1
PCDA9_HUMAN,1
SSX7_HUMAN,1
STK36_HUMAN,1
CAPG_HUMAN,1
NAIF1_HUMAN,1
PZP_HUMAN,1
SPNXA_HUMAN,1
